127.0.0.1 - - [20/Aug/2018:09:10:21 -0400] "GET / HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:10:38 -0400] "GET /ErsProject1/login HTTP/1.1" 500 1651
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:10:42 -0400] "GET /ErsProject1/login/id HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:16:03 -0400] "POST /ErsProject1/login/id HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:16:18 -0400] "GET /ErsProject1/login/id HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:16:34 -0400] "POST /ErsProject1/login/id?u_Id=2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:16:55 -0400] "POST /ErsProject1/login/id?u_Id=2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:16:59 -0400] "GET /ErsProject1/login/id HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:17:08 -0400] "POST /ErsProject1/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:18:03 -0400] "GET /ErsProject1/login/id HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:18:11 -0400] "GET /ErsProject1/login HTTP/1.1" 500 1651
0:0:0:0:0:0:0:1 - - [20/Aug/2018:10:25:43 -0400] "GET /ErsProject1/login?u_Id=1 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [20/Aug/2018:10:31:06 -0400] "GET /ErsProject1/login HTTP/1.1" 405 1122
0:0:0:0:0:0:0:1 - - [20/Aug/2018:12:44:57 -0400] "GET /ErsProject1/login?u_Id=1 HTTP/1.1" 405 1122
0:0:0:0:0:0:0:1 - - [20/Aug/2018:12:45:14 -0400] "POST /ErsProject1/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:12:45:22 -0400] "GET /ErsProject1/login?u_Id=1 HTTP/1.1" 405 1122
0:0:0:0:0:0:0:1 - - [20/Aug/2018:23:02:47 -0400] "GET /ErsProject1/login HTTP/1.1" 405 1122
0:0:0:0:0:0:0:1 - - [20/Aug/2018:23:02:56 -0400] "POST /ErsProject1/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:23:03:39 -0400] "GET /ErsProject1/login?email=manager@manager.com HTTP/1.1" 405 1122
0:0:0:0:0:0:0:1 - - [20/Aug/2018:23:03:46 -0400] "GET /ErsProject1/login?email=%27manager@manager.com%27 HTTP/1.1" 405 1122
0:0:0:0:0:0:0:1 - - [20/Aug/2018:23:04:05 -0400] "GET /ErsProject1/login?users HTTP/1.1" 405 1122
0:0:0:0:0:0:0:1 - - [20/Aug/2018:23:07:05 -0400] "GET /ErsProject1/login HTTP/1.1" 405 1122
0:0:0:0:0:0:0:1 - - [20/Aug/2018:23:07:08 -0400] "POST /ErsProject1/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:23:07:13 -0400] "GET /ErsProject1/login HTTP/1.1" 405 1122
0:0:0:0:0:0:0:1 - - [20/Aug/2018:23:10:41 -0400] "GET /ErsProject1/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:23:10:48 -0400] "POST /ErsProject1/login HTTP/1.1" 405 1123
0:0:0:0:0:0:0:1 - - [20/Aug/2018:23:11:35 -0400] "POST /ErsProject1/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:23:11:46 -0400] "GET /ErsProject1/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:23:12:36 -0400] "GET /ErsProject1/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:23:12:40 -0400] "POST /ErsProject1/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:23:12:49 -0400] "GET /ErsProject1/login HTTP/1.1" 200 -
